dataset,rank,textrank_score,domain,keywords,text_preview
KMMLU-Redux,1,0.015571,화학,"원료, 법, 공급, 최소, 환류, 비일, 이론, 단수, 무한, 되다","증류에 대한 설명으로 가장 거리가 먼 것은? (단, q는 공급원료 1몰을 원료 공급단에 넣었을 때 그 중 탈거부로 내려가는 액체의 몰수이다.) 최소환류비일 경우 이론단수는 무한대로 된다. 포종(bubble-cap)을..."
KMMLU-Redux,2,0.015309,재료,"하다, 금속, 단시간, 용다, 않다, 살다, 대부분, 고체, 물질, 유리","다음 중 금속사용법에 대한 설명으로 틀린 것은? 대부분의 고체 물질인 유리, 목재, 종이, 임의의 어떤 금속 합금에도 단시간에 도금을 할 수 있다. 용사장치는 소형이며 이동이 간단하고 설비비가 많이 들지 않으며, 기..."
KMMLU-Redux,3,0.014608,안전관리,"하다, 감소, 탐상, 저면, 불연속, 존재, 두께, 접촉, 불량, 전면",보일러 및 압력용기에 대한 표준 초음파탐상검사(ASME Sec.V Art.12 SA-388)에 따라 저면 반사기법으로 수직 탐상할 때 저면반사 에코 높이의 감소를 일으키는 원인이 아닌 것은? 불연속의 존재 두께의 감...
KMMLU-Redux,4,0.013863,기계,"하다, 가공, 작다, 비저항, 값, 가이드, 와이어, 장력, 세다, 진동",CNC 와이어 컷 방전가공에서 가공 정밀도를 좋게 하기 위해서는 큰북 형상을 작게 하여 진직 정도를 양호하게 하는 것이 중요하다. 다음 중 이를 위한 방법으로 옳지 않은 것은? 와이어의 장력을 세게 하여 진동을 막는...
KMMLU-Redux,5,0.013687,기계,"하다, 중속, 가볍다, 향상, 시키다, 차, 센서, 장일, 조건, 일정하다",유압식 전자제어 동력조향장치의 특성에 대한 설명으로 틀린 것은? 차속센서가 고장일 경우 중속 조건으로 조향력을 일정하게 유지한다. 자동차가 고속일수록 조향력을 가볍게 하여 운전성을 향상시킨다. 정차 시 조향력을 가볍...
KMMLU-Redux,6,0.012646,환경.에너지,"되다, 전해, 하다, 않다, 배출, 보고, 용융, 시키다, 광석, 변화",온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침상 아연 생산공정의 보고대상 배출시설에 관한 내용으로 옳지 않은 것은? 전해로는 주로 비철금속 계통의 물질을 용융시키는데 이용되며 대표적인 것으로 알루미늄전해로...
KMMLU-Redux,7,0.009638,건축,"용이하다, 전용, 횟수, 이상, 경제, 좋다, 조립, 해체, 콘크리트, 마감","금속재 패널을 사용하는 거푸집 공사의 장점 중 틀린 것은? 전용 횟수가 50회 이상으로 경제적이다. 수밀성이 좋고, 조립과 해체가 용이하다. 콘크리트 마감면의 형상과 치수가 정확하다. 복잡한 형태의 구성이 용이하다...."
KMMLU-Redux,8,0.009616,안전관리,"하다, 고압, 산소, 함유, mathrm, 수분, 용기, 충전, 않다, ch",고압가스를 취급하였을 때 다음 중 가장 위험하지 않은 경우는? 산소 10[\%]를 함유한 \mathrm{CH_4}를 10.0[\mathrm{MPa}]까지 압축하였다. 산소 제조장치를 공기로 치환하지 않고 용접 수리 ...
KMMLU-Redux,9,0.009192,환경.에너지,"하다, 되다, circ, 방울, 약, 가스, 농도, 표준상태, 기압, 상대","토양오염공정시험기준상 용어에 대한 설명으로 옳지 않은 것은? 가스체의 농도는 표준상태($0^\circ C$, 1기압, 상대습도 0%)로 환산 표시한다. 방울수라 함은 20^\circ C$에서 정제수 20방울을 적하할..."
KMMLU-Redux,10,0.009127,광업자원,"하다, 화약류, 장소, 저장, 출고, 니트로글리세린, 되다, 물, 절대로, 이외",화약류의 저장ᆞ취급방법으로 옳은 것은? 화약류는 절대로 저장소 이외의 장소에는 저장해서는 안된다. 저장소에서 화약류를 출고하고자 하는 때에는 저장기간이 최근인 것부터 먼저 출고할 것 저장 중인 다이나마이트 등의 약포...
