query_term,rank,similar_word,cosine_similarity
안전,1,osha,0.6558
안전,2,제품안전,0.6482
안전,3,안전성,0.6426
안전,4,보장,0.6128
안전,5,재난대응,0.6124
안전,6,insag,0.6083
안전,7,jacdec,0.6014
안전,8,보안정책,0.6009
관리,1,고객정보,0.6492
관리,2,hkma,0.6376
관리,3,자재관리,0.6263
관리,4,장표,0.6222
관리,5,운영,0.6162
관리,6,선거정보,0.6143
관리,7,비정부조직,0.6141
관리,8,역제,0.6099
설비,1,송배전,0.7215
설비,2,인통,0.6867
설비,3,물처리,0.669
설비,4,제철설비,0.6688
설비,5,시설,0.6554
설비,6,흑연감속로,0.6499
설비,7,파나막스,0.6477
설비,8,부분품,0.6457
전기,1,교류발전기,0.5722
전기,2,전도도,0.5629
전기,3,액압식,0.5539
전기,4,후기,0.5466
전기,5,miev,0.5453
전기,6,밥통,0.543
전기,7,송배전,0.5405
전기,8,미도스지선,0.533
공정,1,공정은,0.6262
공정,2,국협,0.6104
공정,3,mpga,0.6037
공정,4,stacking,0.6003
공정,5,국일,0.5782
공정,6,umci,0.572
공정,7,캘루트론,0.5648
공정,8,wafer,0.5633
환경,1,채군,0.6624
환경,2,생태도시,0.6622
환경,3,생활환경,0.6531
환경,4,시장실패,0.6436
환경,5,식품위생,0.6357
환경,6,cde,0.6317
환경,7,비가역성,0.6247
환경,8,전송량,0.6239
위험,1,위험성,0.7292
위험,2,잠재,0.6352
위험,3,심혈관계,0.6199
위험,4,다제내성,0.6134
위험,5,교대근무,0.6128
위험,6,아플라톡신,0.6072
위험,7,무자력,0.6062
위험,8,고요산혈증,0.6017
사고,1,테일스트라이크,0.754
사고,2,추돌,0.6961
사고,3,노심용융,0.6905
사고,4,unscear,0.664
사고,5,추돌사고,0.6615
사고,6,끼임,0.6609
사고,7,항공사고,0.6461
사고,8,싱가포르항공,0.6441
법,1,법률,0.7047
법,2,법이므,0.6841
법,3,소비자보호법,0.6622
법,4,지방공무원법,0.647
법,5,절차법,0.6413
법,6,법령,0.6333
법,7,범죄피해자보호법,0.6332
법,8,토지수용법,0.6327
법률,1,법령,0.7263
법률,2,법,0.7047
법률,3,통칙,0.6933
법률,4,지방공무원법,0.6905
법률,5,소비자보호법,0.6892
법률,6,경쟁법,0.6864
법률,7,공탁법,0.6862
법률,8,자기거래,0.6847
계약,1,웡가,0.718
계약,2,고용기간,0.695
계약,3,보라스,0.6936
계약,4,준소비대차,0.6813
계약,5,해지,0.6806
계약,6,준계약,0.6681
계약,7,위약금,0.6658
계약,8,가계약,0.662
의무,1,납세의무,0.6766
의무,2,병역의무,0.6644
의무,3,권리,0.6558
의무,4,책임능력,0.651
의무,5,매도담보,0.6488
의무,6,조사상,0.6441
의무,7,유추적용,0.6422
의무,8,과실책임,0.6409
책임,1,연대책임,0.6844
책임,2,지고,0.6746
책임,3,사용자책임,0.6479
책임,4,책임능력,0.6188
책임,5,중과실,0.6184
책임,6,과실책임,0.6174
책임,7,이행보조자,0.6112
책임,8,불법행위,0.6068
환자,1,치료,0.7517
환자,2,만성골수성백혈병,0.7212
환자,3,부비동염,0.7064
환자,4,요로감염,0.706
환자,5,실혈,0.7055
환자,6,고지혈증,0.7028
환자,7,중환자,0.699
환자,8,집중치료실,0.6988
진단,1,기관지확장증,0.6628
진단,2,vdrl,0.6342
