rank,similarity,redux_domain,pro_domain,redux_keywords,pro_keywords
1,0.9399,건설,부동산학원론,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 사업, 상환, 프로젝트, 주의, 부채, 개발, 자금"
2,0.9086,건설,경영학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","기업, 시장, 자본, 부채, 하다, 채권, 자기, 보통주"
3,0.9072,건설,보험업법,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","보험, 가다, 대출, 회사, 하다, 간접, 업법, 자산운용"
4,0.9031,기계,감정평가관계법규,"건축물, 이상인, 사용, 되다, 바닥면적, 합계, 제곱미터, 시설","건축물, 하다, 해체, 대지, 종전, 같다, 규모, 기둥"
5,0.902,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","매출, 매입, 인하다, 하다, 보다, 작다, 현금, 자료"
6,0.901,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 부채, 기업, 자산, 않다, 요구, 비유, 상환"
7,0.9007,농림어업,자연과학개론,"백운모, 방해석, 정장석, 흑운모, 풍화, 어렵다, 광물","유문암, 안산암, 반려암, 감람암, 섬록암, sio, 함량, 무게"
8,0.9004,건설,세법개론,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 소득, 사업, 양도, 발생, 비사, 업자, 양도소득"
9,0.8922,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 자산, 가치, 공정, 측정, 부채, 가정, 일"
10,0.8909,환경.에너지,공법,"하다, 감리, 설계, 변경, 방침, 기술, 검토, 구성","계획, 하다, 신청, 산업, 개발, 단지, 행정, 입안"
11,0.8906,환경.에너지,공법,"등록, 따르다, 사업, 하다, 신고, 수리, 기공사, 변경","계획, 하다, 신청, 산업, 개발, 단지, 행정, 입안"
12,0.8889,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 판매, 매출채권, 언급, 기업, 기간, 자료, 제시"
13,0.8887,안전관리,산업약학,"하다, 고압, 산소, 함유, mathrm, 수분, 용기, 충전","하다, 주입, 이상, 대기압, 가열, 이하, 상온, 임계온도"
14,0.8876,농림어업,침구학,"되다, 부족, 흰갯병, 싹갯병, 붉은갯병, 동상, 재래식, 김발","세, 이전, 장애, 세다, duchenne, 지대, limb, girdle"
15,0.8869,화학,산업약학,"하다, 조치, 물, 가하다, 희다, 과염소산, 유기화합물, 보호","하다, 물, 되다, 스퀴, 올레산, 비탄, 바셀린, 치다"
16,0.8859,환경.에너지,공법,"토지, 할인, 예산, 역서, 공작물, 설치, 설계도, 형질","계획, 하다, 신청, 산업, 개발, 단지, 행정, 입안"
17,0.8856,환경.에너지,공법,"도시, 하다, 지정, 탄소, 중립, 정부, 사업, 시행","계획, 하다, 신청, 산업, 개발, 단지, 행정, 입안"
18,0.8856,경영.회계.사무,경영학,"하다, 고객, 묶다, 광고, 번지르르하다, 호텔, 가다, 보다","하다, 광고, 중간, 소비자, 구매, 어렵다, 모델, 성은"
19,0.8846,환경.에너지,치과보존학,"되다, 전해, 하다, 않다, 배출, 보고, 용융, 시키다","하다, 중합, 치질, 기계, 결합, 구치부, 교두, 수복"
20,0.8815,농림어업,치주과학/구강보건학,"되다, 부족, 흰갯병, 싹갯병, 붉은갯병, 동상, 재래식, 김발","치다, 병, 근관치료, 의하다, 조직, 감염, 소가, 재생"
21,0.8808,환경.에너지,관세법개론,"등록, 따르다, 사업, 하다, 신고, 수리, 기공사, 변경","하다, 물품, 조사, 관세, 외국, 용품, 수입, 지정"
22,0.8802,재료,치과보존학,"하다, 금속, 단시간, 용다, 않다, 살다, 대부분, 고체","하다, 중합, 치질, 기계, 결합, 구치부, 교두, 수복"
23,0.8786,농림어업,의학각론,"되다, 부족, 흰갯병, 싹갯병, 붉은갯병, 동상, 재래식, 김발","동맥, 어지럼, 하다, 양성, 먹다, 안다, 검사, 메다"
24,0.8781,광업자원,산업약학,"하다, 화약류, 장소, 저장, 출고, 니트로글리세린, 되다, 물","하다, 물, 되다, 스퀴, 올레산, 비탄, 바셀린, 치다"
25,0.8765,안전관리,한약학 응용,"불화수소, 이산화질소, 염화수소, 아황산가스, 화학물질, 생리, 작용, 의하다","흡수, 하다, 약물, 점막, 일어난다, 간초, 회통, 효과"
26,0.875,광업자원,한약학 응용,"하다, 화약류, 장소, 저장, 출고, 니트로글리세린, 되다, 물","약물, 꺼내다, 포제, 과정, 통해, 효능, 강화, 되다"
27,0.8747,환경.에너지,노동법2,"할당, 위원회, 위원, 하다, 배출, 위원장, 회의, 재적","하다, 노동조합, 조합원, 사업, 회의, 이상, 의원, 집권"
28,0.8742,경영.회계.사무,경영학,"하다, 고객, 묶다, 광고, 번지르르하다, 호텔, 가다, 보다","리더, 리더십, 권력, 늘다, power, 지향, 하다, 중심"
29,0.8734,안전관리,보험계약법,"가격, 하다, 피해, 전부, 손해, 입목, 화재, 입다","하다, 임차, 보험, 사고, 화재, 피, 목적, 물"
30,0.8731,농림어업,치주과학/구강보건학,"사용, 하다, 동물, 용의, 약품, 수의사, 처방, 따르다","치다, 병, 근관치료, 의하다, 조직, 감염, 소가, 재생"
31,0.8724,건설,재정학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 효과, 발생, 재원, 방식, 세대, 국민연금, 민간"
32,0.872,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","하다, 확정, 손익, 부채, 자산, 인식, 기간, 측정"
33,0.8712,건설,재정학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","법인세, 부담, 하다, 부가가치세, 기업, 누진, 출품, 국내"
34,0.871,환경.에너지,감정평가관계법규,"지역, 우려, 기준, 넘다, 토양오염, 결과, 가능성, 크다","지역, 국토, 계획, 이용, 법령, 용도, 지역별, 건폐율"
35,0.8686,건축,산업재산권법,"용이하다, 전용, 횟수, 이상, 경제, 좋다, 조립, 해체","디자인, 하다, 되다, 등록, 판단, 대비, 대상, 의하다"
36,0.8684,건설,감정평가관계법규,"가능하다, 완전하다, 보차, 분리, 커뮤니티, 시설, 중심, 배치","지역, 국토, 계획, 이용, 법령, 용도, 지역별, 건폐율"
37,0.8683,건설,사회보험법,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","사업, 고용, 보험, 보험료, 근로자, 수가, 명인, 주의"
38,0.8677,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","기업, 재무제표, 하다, 별도, 투자, 공동, 관계, 않다"
39,0.8667,건설,회계학,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","감소, 하다, 주식, 고려, 않다, 종업원, 중도, hline"
40,0.8664,농림어업,회계학,"사용, 하다, 동물, 용의, 약품, 수의사, 처방, 따르다","하다, 마리, 생산, 리터, 공정, 가치, 송아지, 자료"
41,0.8663,안전관리,산업재산권법,"하다, 보수, 재검사, 용접, 부분, 검사, 지시, 동일","디자인, 하다, 되다, 등록, 판단, 대비, 대상, 의하다"
42,0.866,건설,경제학원론,"금융, 부동산, 개발, 장기, 단계, 사업, 수익, 기간","기업, 산업, 늘다, frac, 완전경쟁, 시장, 모든, 이윤"
43,0.8654,환경.에너지,관세법개론,"아니다, 위반, 소음, 이하, 차, 변경, 인증, 받다","하다, 물품, 조사, 관세, 외국, 용품, 수입, 지정"
44,0.8646,농림어업,내과학1,"되다, 부족, 흰갯병, 싹갯병, 붉은갯병, 동상, 재래식, 김발","폐암, 폐결핵, 흡인, 폐렴, 급성, 인두, 기관지확장증, 세"
45,0.8634,환경.에너지,산업약학,"되다, 전해, 하다, 않다, 배출, 보고, 용융, 시키다","하다, 물, 되다, 스퀴, 올레산, 비탄, 바셀린, 치다"
46,0.8633,환경.에너지,감정평가관계법규,"도시, 하다, 지정, 탄소, 중립, 정부, 사업, 시행","지역, 국토, 계획, 이용, 법령, 용도, 지역별, 건폐율"
47,0.863,화학,회계학,"매출, 어떻다, 회사, 정비, 변동, 일, 손익, 분기점","매출, 매입, 인하다, 하다, 보다, 작다, 현금, 자료"
