dataset,rank,noun,frequency,ratio
KMMLU-Pro,1,회사,187,0.007196
KMMLU-Pro,2,기간,185,0.007119
KMMLU-Pro,3,보험,177,0.006811
KMMLU-Pro,4,등기,163,0.006272
KMMLU-Pro,5,계약,143,0.005503
KMMLU-Pro,6,대하,141,0.005426
KMMLU-Pro,7,지급,130,0.005002
KMMLU-Pro,8,청구,124,0.004771
KMMLU-Pro,9,자산,116,0.004464
KMMLU-Pro,10,취소,116,0.004464
KMMLU-Pro,11,기업,107,0.004117
KMMLU-Pro,12,토지,105,0.00404
KMMLU-Pro,13,사용,104,0.004002
KMMLU-Pro,14,발생,104,0.004002
KMMLU-Pro,15,결정,103,0.003963
KMMLU-Pro,16,신청,99,0.003809
KMMLU-Pro,17,채무자,93,0.003579
KMMLU-Pro,18,제기,89,0.003425
KMMLU-Pro,19,법원,87,0.003348
KMMLU-Pro,20,금액,87,0.003348
KMMLU-Pro,21,합병,86,0.003309
KMMLU-Pro,22,담보,85,0.003271
KMMLU-Pro,23,채권자,82,0.003155
KMMLU-Pro,24,피,81,0.003117
KMMLU-Pro,25,판결,79,0.00304
KMMLU-Pro,26,이상,79,0.00304
KMMLU-Pro,27,건물,78,0.003001
KMMLU-Pro,28,디자인,78,0.003001
KMMLU-Pro,29,판례,75,0.002886
KMMLU-Pro,30,계속,74,0.002847
KMMLU-Pro,31,다툼,73,0.002809
KMMLU-Pro,32,사업,73,0.002809
KMMLU-Pro,33,주식,73,0.002809
KMMLU-Pro,34,효력,73,0.002809
KMMLU-Pro,35,법,73,0.002809
KMMLU-Pro,36,채무,72,0.002771
KMMLU-Pro,37,채권,72,0.002771
KMMLU-Pro,38,처분,72,0.002771
KMMLU-Pro,39,사정,71,0.002732
KMMLU-Pro,40,절차,71,0.002732
KMMLU-Pro,41,공탁,71,0.002732
KMMLU-Pro,42,확정,70,0.002694
KMMLU-Pro,43,적용,70,0.002694
KMMLU-Pro,44,목적,70,0.002694
KMMLU-Pro,45,소송,70,0.002694
KMMLU-Pro,46,의무,69,0.002655
KMMLU-Pro,47,발행,68,0.002617
KMMLU-Pro,48,이행,67,0.002578
KMMLU-Pro,49,이전,65,0.002501
KMMLU-Pro,50,고려,65,0.002501
KMMLU-Redux,1,사용,126,0.013283
KMMLU-Redux,2,압력,65,0.006852
KMMLU-Redux,3,법,54,0.005693
KMMLU-Redux,4,방식,51,0.005376
KMMLU-Redux,5,물,51,0.005376
KMMLU-Redux,6,가스,45,0.004744
KMMLU-Redux,7,시설,44,0.004638
KMMLU-Redux,8,발생,43,0.004533
KMMLU-Redux,9,약,41,0.004322
KMMLU-Redux,10,검사,41,0.004322
KMMLU-Redux,11,관리,37,0.0039
KMMLU-Redux,12,증가,36,0.003795
KMMLU-Redux,13,가공,33,0.003479
KMMLU-Redux,14,장소,32,0.003373
KMMLU-Redux,15,설비,32,0.003373
KMMLU-Redux,16,이상,32,0.003373
KMMLU-Redux,17,흡수,31,0.003268
KMMLU-Redux,18,속도,30,0.003163
KMMLU-Redux,19,전류,30,0.003163
KMMLU-Redux,20,금속,30,0.003163
KMMLU-Redux,21,기준,30,0.003163
KMMLU-Redux,22,감소,29,0.003057
KMMLU-Redux,23,연료,29,0.003057
KMMLU-Redux,24,이용,29,0.003057
KMMLU-Redux,25,위치,28,0.002952
KMMLU-Redux,26,설치,27,0.002846
KMMLU-Redux,27,표시,27,0.002846
KMMLU-Redux,28,차,27,0.002846
KMMLU-Redux,29,제어,26,0.002741
KMMLU-Redux,30,거리,26,0.002741
KMMLU-Redux,31,장치,26,0.002741
KMMLU-Redux,32,누설,26,0.002741
KMMLU-Redux,33,배출,26,0.002741
KMMLU-Redux,34,방법,26,0.002741
KMMLU-Redux,35,표면,25,0.002635
KMMLU-Redux,36,온도,25,0.002635
KMMLU-Redux,37,위성,24,0.00253
KMMLU-Redux,38,방향,24,0.00253
KMMLU-Redux,39,시스템,24,0.00253
KMMLU-Redux,40,저장,24,0.00253
KMMLU-Redux,41,펌프,23,0.002425
KMMLU-Redux,42,지역,22,0.002319
KMMLU-Redux,43,할당,22,0.002319
KMMLU-Redux,44,코일,21,0.002214
KMMLU-Redux,45,시험,20,0.002108
KMMLU-Redux,46,공간,20,0.002108
KMMLU-Redux,47,일,19,0.002003
KMMLU-Redux,48,농도,19,0.002003
KMMLU-Redux,49,설계,19,0.002003
KMMLU-Redux,50,고압,19,0.002003
